,CODE,VDECL,ASSIGN,RHS,EXPR,EXPR_,FDECL,ARG,MOREARGS,BLOCK,STMT,COND,ELSE,RETURN,CDECL,ODECL
0,,1,,,,,,,,,,,,,,
1,3,1,,,,,4,,,,,,,,5,
2,,,9,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,10,1,,,,,4,,,,,,,,5,
5,11,1,,,,,4,,,,,,,,5,
6,,,9,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,19,20,24,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,28,,,,,,,,
18,,31,,,,,32,,,,,,,,,30
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,35,24,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,31,,,,,32,,,,,,,,,39
32,,31,,,,,32,,,,,,,,,40
33,,,,,41,24,,,,,,,,,,
34,,,,,42,24,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,45,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,49,50,,,,,,,47,48,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,55,,
48,,49,50,,,,,,,57,48,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,63,20,24,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,64,,,,
60,,,,,,,,,,,,66,,,,
61,,,,,,,,,67,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,73,,,,
71,,,,,,,,,,,,,,,,
72,,49,50,,,,,,,75,48,,,,,
73,,,,,,,,,,,,,,,,
74,,49,50,,,,,,,76,48,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,79,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,49,50,,,,,,,82,48,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
